1854000,-0.018844,0.004669,-1.875562,1.875663,-0.001172226
1856000,-0.002068,-0.066912,-2.054977,2.056067,-0.001284361
1858000,0.067722,-0.062437,-1.736833,1.739274,-0.001085521
1860000,-0.035083,0.023609,0.254091,0.257586,0.000158807
1862000,-0.138526,0.103323,2.18048,2.187318,0.0013628
1864000,-0.063814,0.077791,1.98758,1.990126,0.001242238
1866000,0.044792,0.027629,1.939484,1.940197,0.001212178
1868000,0.027233,0.100742,2.074087,2.076711,0.001296304
1870000,-0.061665,0.158055,1.94009,1.947494,0.001212556
1872000,-0.026525,0.06812,1.78759,1.789084,0.001117244
1874000,0.067805,-0.007633,-0.157395,0.171549,-9.83719E-05
1876000,0.089971,0.014028,-2.101562,2.103534,-0.001313476
1878000,0.036549,0.018389,-2.013216,2.013632,-0.00125826
1880000,-0.005401,-0.041288,-1.942769,1.943215,-0.001214231
1882000,0.027734,-0.061968,-2.059759,2.060878,-0.001287349
1884000,0.018975,-0.015487,-1.149917,1.150177,-0.000718698
1886000,-0.060397,0.039362,1.219353,1.221482,0.000762096
1888000,-0.095139,0.084029,2.441961,2.445258,0.001526226
1890000,-0.044374,0.060923,1.81688,1.818442,0.00113555
1892000,0.006659,0.085195,2.026655,2.028456,0.001266659
1894000,-0.028223,0.140834,2.044916,2.049954,0.001278073
1896000,-0.019173,0.036395,1.113216,1.113976,0.00069576
1898000,0.110076,-0.059806,-0.888105,0.896897,-0.000555066
1900000,0.127982,-0.036646,-2.181929,2.185986,-0.001363706
1902000,0.006018,-0.006564,-1.929602,1.929623,-0.001206001
1904000,-0.025429,-0.033222,-2.005165,2.005601,-0.001253228
1906000,0.052906,-0.066894,-2.022957,2.024754,-0.001264348
1908000,0.006874,-0.012868,-0.524432,0.524635,-0.00032777
1910000,-0.123168,0.090926,1.772919,1.779516,0.001108074
1912000,-0.101101,0.099759,2.192828,2.197423,0.001370518
1914000,0.017549,0.016911,1.873127,1.873285,0.001170704
