75284000,0.008921,0.03155,1.095075,1.095566
75286000,0.01206,0.027254,1.086374,1.086783
75288000,0.02278,0.010123,1.079883,1.080171
75290000,0.021288,0.020024,1.081976,1.082371
75292000,0.0152,0.037001,1.079514,1.080255
75294000,0.005823,0.036509,1.076421,1.077056
75296000,0.011118,0.030474,1.067098,1.067591
75298000,0.026486,0.01617,1.050938,1.051396
75300000,0.020386,0.028967,1.049418,1.050016
75302000,0.005361,0.030996,1.047215,1.047687
75304000,0.006144,0.026723,1.048976,1.049334
75306000,0.017033,0.020814,1.04915,1.049495
75308000,0.022044,0.010602,1.033578,1.033867
75310000,0.013628,0.028523,1.02854,1.029026
75312000,0.006801,0.032244,1.02739,1.027918
75314000,0.011183,0.027415,1.031489,1.031913
75316000,0.013943,0.023161,1.031822,1.032176
75318000,0.01528,0.014704,1.019548,1.019769
75320000,0.01485,0.021181,1.021336,1.021664
75322000,0.011945,0.024298,1.025632,1.025989
75324000,0.012455,0.023683,1.021773,1.022123
75326000,0.009383,0.018883,1.00694,1.00716
75328000,0.012011,0.018247,0.993906,0.994146
75330000,0.017434,0.021294,0.992723,0.993105
75332000,0.012898,0.02229,0.989445,0.98978
75334000,0.008306,0.03036,0.984831,0.985334
75336000,0.009204,0.035841,0.971477,0.972182
75338000,0.01826,0.033233,0.955936,0.956688
75340000,0.018354,0.028684,0.948148,0.94876
75342000,0.008041,0.029844,0.940187,0.940695
75344000,0.005402,0.037242,0.934049,0.934806
75346000,0.007767,0.039271,0.931909,0.932768
75348000,0.017719,0.028382,0.923162,0.923768
75350000,0.016453,0.022649,0.916976,0.917404
75352000,0.007425,0.029892,0.922076,0.92259
75354000,0.009434,0.038102,0.921223,0.922059
75356000,0.007949,0.03616,0.916632,0.917379
75358000,0.011702,0.021283,0.911576,0.9119
75360000,0.015613,0.016392,0.909049,0.909331
75362000,0.012379,0.026876,0.914743,0.915222
75364000,0.009952,0.025774,0.915308,0.915725
75366000,0.003139,0.012208,0.909254,0.909341
75368000,0.008952,0.010839,0.896369,0.896479
75370000,0.018707,0.020654,0.892127,0.892562
75372000,0.012765,0.02618,0.894116,0.89459
75374000,0.003141,0.032138,0.888278,0.888864
75376000,0.001321,0.028212,0.885068,0.885519
75378000,0.015692,0.01697,0.872528,0.872834
