timestamp(ms),ADXL_X,ADXL_Y,ADXL_Z,ADXL_T,LIS_X,LIS_Y,LIS_Z,LIS_T
1776664713,0.08144,-0.024532,,,,,,
1776664713,,,0.996334,0.999958,0.065,0.037,1.076,1.0786
1776664713,0.003178,0.012714,0.992367,0.992453,0.063,0.04,1.074,1.0766
1776664713,0.031078,0.03215,0.965214,,,,,
1776664713,,,,0.966249,0.067,0.033,1.076,1.0786
1776664713,0.031078,0.03215,0.965214,0.966249,0.058,0.037,1.08,1.0822
1776664713,0.053295,-0.004757,0.995148,,,,,
1776664713,,,,0.996585,0.053,0.046,1.087,1.0893
1776664713,0.053295,-0.004757,0.995148,0.996585,0.064,0.035,1.07,
1776664713,,,,,,,,1.0725
1776664713,-0.051086,,,,,,,
1776664713,,0.036003,0.98418,0.986163,0.066,0.028,1.065,1.0674
1776664713,-0.022858,0.03257,0.96516,0.96598,0.057,0.03,1.083,1.0849
1776664713,-0.022858,,,,,,,
1776664713,,0.03257,0.96516,0.96598,0.062,0.045,1.071,1.0737
1776664713,0.102146,0.028294,0.993889,0.999525,0.069,0.032,1.073,1.0757
1776664713,-0.071728,0.043976,,,,,,
1776664713,,,0.979507,0.983114,0.064,0.03,1.077,1.0793
1776664713,-0.071728,0.043976,0.979507,0.983114,0.065,0.041,1.088,1.0907
1776664713,-0.060104,0.035236,,,,,,
1776664713,,,0.970524,0.973021,0.057,0.033,1.059,1.061
1776664713,-0.004002,0.045254,0.978596,0.97965,0.066,0.033,1.074,1.0765
1776664713,-0.004002,0.045254,,,,,,
1776664713,,,0.978596,0.97965,0.061,0.042,1.081,1.0835
1776664713,-0.111103,0.056255,0.981529,0.989398,0.053,0.038,1.079,1.081
1776664713,-0.111103,,,,,,,
1776664713,,0.056255,0.981529,0.989398,0.064,0.042,1.083,1.0857
1776664713,-0.133766,0.057217,0.965252,0.976155,0.055,0.036,1.061,1.063
1776664713,-0.022266,0.052105,,,,,,
1776664713,,,0.991543,0.993161,0.067,0.034,1.067,1.0696
1776664713,-0.022266,0.052105,0.991543,0.993161,0.071,0.028,1.072,1.0747
1776664713,0.076839,0.048912,,,,,,
1776664713,,,0.985504,0.989705,0.06,0.039,1.06,1.0624
1776664713,-0.076111,0.033169,0.991261,0.994731,0.074,0.034,1.048,1.0512
1776664713,-0.076111,0.033169,,,,,,
1776664713,,,0.991261,0.994731,0.06,0.03,1.063,1.0651
1776664713,-0.124664,0.064487,0.975407,0.985453,0.069,0.037,1.065,1.0679
1776664713,-0.039719,0.058563,0.988194,,,,,
1776664713,,,,0.990724,0.069,0.033,1.056,1.0588
1776664713,-0.039719,0.058563,0.988194,0.990724,0.066,0.032,1.077,1.0795
1776664713,0.042065,0.04538,0.981022,,,,,
1776664713,,,,0.982971,0.073,0.039,1.067,1.0702
1776664713,0.042065,0.04538,0.981022,0.982971,0.077,0.033,1.062,
1776664713,,,,,,,,1.0653
1776664713,0.033733,0.035027,0.982529,,,,,
1776664713,,,,0.983731,0.075,0.027,1.079,1.0819
1776664713,0.037113,0.029995,0.979725,0.980886,0.07,0.031,1.074,1.0767
1776664713,0.037113,0.029995,,,,,,
1776664713,,,0.979725,0.980886,0.067,0.035,1.086,1.0886
1776664713,-0.013817,0.02652,0.987476,0.987929,0.067,0.031,1.079,1.0815
1776664713,0.032616,0.008434,0.952076,,,,,
1776664713,,,,0.952672,0.063,0.032,1.074,1.0763
1776664713,0.032616,0.008434,0.952076,0.952672,0.06,0.039,1.075,1.0774
1776664713,0.026661,0.006447,0.943527,,,,,
1776664713,,,,0.943926,0.061,0.036,1.063,1.0654
1776664713,0.007156,0.025623,0.93425,0.934629,0.066,0.038,1.069,1.0717
1776664713,0.007156,0.025623,0.93425,,,,,
1776664713,,,,0.934629,0.066,0.033,1.065,1.0676
1776664713,-0.013241,0.050697,0.979992,0.981392,0.07,0.033,1.062,1.0648
1776664713,-0.013241,0.050697,0.979992,,,,,
1776664713,,,,0.981392,0.065,0.034,1.068,1.0705
1776664713,-0.003376,0.051636,0.942722,0.944141,0.061,0.038,1.072,1.0744
1776664713,-0.026596,0.040085,1.016125,,,,,
1776664713,,,,1.017263,0.063,0.042,1.067,1.0697
1776664713,-0.026596,0.040085,1.016125,1.017263,0.064,0.038,1.078,1.0806
1776664713,0.003437,-0.006317,,,,,,
1776664713,,,1.011486,1.011512,0.066,0.037,1.073,1.0757
1776664713,-0.001045,-0.022766,0.997803,0.998063,0.069,0.034,1.064,1.0668
1776664713,-0.001045,-0.022766,,,,,,
1776664713,,,0.997803,0.998063,0.068,0.03,1.07,1.0726
1776664713,-0.001881,-0.031017,1.009155,1.009634,0.07,0.034,1.063,1.0658
1776664713,-0.001881,-0.031017,,,,,,
1776664713,,,1.009155,1.009634,0.067,0.037,1.069,1.0717
1776664713,-0.008759,-0.042152,1.005085,1.006007,0.065,0.035,1.072,1.0745
1776664713,0.021282,-0.051334,1.012161,,,,,
1776664713,,,,1.013686,0.068,0.038,1.069,1.0718
1776664713,0.021282,-0.051334,1.012161,1.013686,0.065,0.037,1.069,1.0716
1776664713,0.009285,-0.061127,,,,,,
1776664713,,,0.957401,0.959396,0.06,0.034,1.068,1.0702
1776664713,-0.165779,0.029068,0.946602,0.961448,0.066,0.037,1.066,1.0687
1776664713,-0.165779,0.029068,0.946602,,,,,
1776664713,,,,0.961448,0.064,0.036,1.071,1.0735
1776664713,-0.148552,0.110149,1.002132,1.019053,0.067,0.036,1.065,1.0677
1776664713,0.013824,-0.045952,,,,,,
1776664713,,,0.984669,0.985837,0.066,0.039,1.07,1.0727
1776664713,0.013824,-0.045952,0.984669,0.985837,0.063,0.035,1.071,
1776664713,,,,,,,,1.0734
1776664713,0.18594,-0.212139,,,,,,
1776664713,,,0.991833,1.031169,0.07,0.032,1.07,1.0728
1776664713,0.18594,-0.212139,0.991833,1.031169,0.062,0.032,1.07,1.0723
1776664713,0.274002,,,,,,,
1776664713,,-0.299408,0.935379,1.019635,0.063,0.034,1.069,1.0714
1776664713,0.210976,-0.129681,0.965225,0.996488,0.064,0.031,1.074,1.0764
1776664713,0.210976,-0.129681,,,,,,
1776664713,,,0.965225,0.996488,0.064,0.034,1.072,1.0744
1776664713,0.016586,0.019997,1.003765,1.004101,0.068,0.033,1.069,1.0717
1776664713,-0.052803,-0.039631,,,,,,
1776664713,,,0.981247,0.983465,0.061,0.035,1.07,1.0723
1776664713,-0.052803,-0.039631,0.981247,0.983465,0.064,0.035,1.067,
1776664713,,,,,,,,1.0695
1776664713,0.087353,-0.084793,,,,,,
1776664713,,,0.965309,0.972955,0.067,0.039,1.067,1.0698
1776664713,0.019188,-0.063557,0.981224,0.983467,0.067,0.036,1.071,1.0737
1776664713,0.019188,,,,,,,
1776664713,,-0.063557,0.981224,0.983467,0.064,0.035,1.069,1.0715
1776664713,0.014294,-0.059361,0.98547,0.987359,0.064,0.032,1.066,1.0684
1776664713,0.014294,-0.059361,,,,,,
1776664713,,,0.98547,0.987359,0.066,0.035,1.069,1.0716
1776664713,0.05183,-0.074181,0.968044,0.972265,0.062,0.03,1.069,
1776664713,,,,,,,,1.0712
1776664713,0.018955,-0.05991,0.984848,,,,,
1776664713,,,,0.986851,0.063,0.033,1.07,1.0724
1776664713,0.018955,-0.05991,0.984848,0.986851,0.065,0.036,1.066,1.0686
1776664713,0.030697,-0.065956,,,,,,
1776664713,,,0.97887,0.98157,0.064,0.033,1.068,1.0704
1776664713,0.037289,-0.070412,0.974586,0.977838,0.067,0.032,1.071,1.0736
1776664713,0.037289,-0.070412,0.974586,,,,,
1776664713,,,,0.977838,0.063,0.031,1.075,1.0773
1776664713,0.024521,-0.06319,0.982777,0.985111,0.061,0.032,1.075,1.0772
1776664713,0.024521,-0.06319,0.982777,,,,,
1776664713,,,,0.985111,0.064,0.038,1.071,1.0736
1776664713,0.032963,-0.066689,0.97728,0.980107,0.065,0.038,1.073,1.0756
1776664713,0.032127,-0.066711,,,,,,
1776664713,,,0.976673,0.979476,0.066,0.033,1.07,1.0725
1776664713,0.032127,-0.066711,0.976673,0.979476,0.068,0.035,1.069,1.0717
1776664713,0.028515,-0.065243,,,,,,
1776664713,,,0.980423,0.983005,0.07,0.031,1.07,1.0727
1776664713,0.031837,-0.069744,0.976692,0.979697,0.068,0.034,1.072,1.0747
1776664713,0.031837,-0.069744,,,,,,
1776664713,,,0.976692,0.979697,0.065,0.036,1.07,1.0726
1776664713,0.032551,-0.068203,0.978905,0.981818,0.069,0.038,1.064,1.0669
1776664713,0.030994,-0.065853,0.980335,,,,,
1776664713,,,,0.983033,0.072,0.028,1.06,1.0628
1776664713,0.030994,-0.065853,0.980335,0.983033,0.077,0.036,1.071,1.0744
1776664713,0.031689,-0.067905,,,,,,
1776664713,,,0.976604,0.979475,0.073,0.031,1.064,1.067
1776664713,0.031689,-0.067905,0.976604,0.979475,0.082,0.035,1.073,1.0767
1776664713,0.031574,-0.068752,,,,,,
1776664713,,,0.978203,0.981124,0.068,0.036,1.066,1.0688
1776664713,0.030624,-0.06768,0.977676,0.980495,0.063,0.039,1.07,1.0726
1776664713,0.030624,-0.06768,,,,,,
1776664713,,,0.977676,0.980495,0.066,0.039,1.07,1.0727
1776664713,0.033325,-0.067451,0.977467,0.980358,0.064,0.037,1.078,1.0805
1776664713,0.031551,-0.066483,,,,,,
1776664713,,,0.979107,0.981869,0.057,0.041,1.076,1.0783
1776664713,0.031551,-0.066483,0.979107,0.981869,0.059,0.032,1.063,1.0651
1776664713,0.03017,-0.067863,0.978424,0.981239,,,,
1776664713,0.033134,-0.068161,0.978226,0.981157,0.054,0.037,1.067,1.069
1776664713,0.033134,-0.068161,0.978226,0.981157,0.065,0.034,1.073,1.0755
1776664713,0.029884,,,,,,,
1776664713,,-0.066856,0.978146,0.980883,0.061,0.031,1.068,1.0702
1776664713,0.029884,,,,,,,
1776664713,,-0.066856,0.978146,0.980883,0.063,0.038,1.06,1.0626
1776664713,0.031456,-0.066051,0.979694,0.982422,0.074,,,
1776664713,,,,,,0.036,1.068,1.0712
1776664713,0.032829,,,,,,,
1776664713,,-0.068508,0.977322,0.98027,0.058,0.035,1.062,1.0642
1776664713,0.032829,-0.068508,0.977322,0.98027,0.065,0.042,1.061,
1776664713,,,,,,,,1.0638
1776664713,0.030861,,,,,,,
1776664713,,-0.068283,0.977879,0.980745,0.07,0.041,1.056,
1776664713,,,,,,,,1.0591
1776664713,0.031269,-0.067688,0.978214,0.981052,0.064,0.037,1.067,
1776664713,,,,,,,,1.0696
1776664713,0.031269,-0.067688,0.978214,0.981052,0.067,0.033,,
1776664713,,,,,,,1.067,1.0696
1776664713,0.031345,-0.066872,0.977139,0.979926,0.07,,,
1776664713,,,,,,0.035,1.073,1.0759
1776664713,0.031345,,,,,,,
1776664713,,-0.066872,0.977139,0.979926,0.065,0.031,1.072,1.0744
1776664713,0.030773,-0.066154,0.979229,0.981943,0.067,0.029,1.073,
1776664713,,,,,,,,1.0755
1776664713,0.030544,,,,,,,
1776664713,,-0.067162,0.978603,0.981381,0.068,0.032,1.071,1.0736
1776664713,0.030544,-0.067162,0.978603,0.981381,0.067,0.036,1.072,
1776664713,,,,,,,,1.0747
1776664713,0.031334,,,,,,,
1776664713,,-0.068199,0.97723,0.980108,0.064,0.033,1.073,1.0754
1776664713,0.031033,-0.065842,0.979607,0.982307,0.065,0.029,,
1776664713,,,,,,,1.072,1.0744
1776664713,0.031033,,,,,,,
1776664713,,-0.065842,0.979607,0.982307,0.064,0.036,1.072,1.0745
1776664713,0.029873,-0.066376,0.979523,0.982223,0.062,0.032,,
1776664713,,,,,,,1.073,1.0753
1776664713,0.031212,,,,,,,
1776664713,,-0.067787,0.978111,0.980954,0.063,0.033,1.071,1.0734
1776664713,0.031212,-0.067787,0.978111,,,,,
1776664713,,,,0.980954,0.065,0.036,1.071,1.0736
1776664713,0.030846,-0.06662,0.980011,0.982757,0.067,0.037,1.068,1.0707
1776664713,0.030846,-0.06662,0.980011,0.982757,0.066,0.038,1.074,1.0767
1776664713,0.029057,,,,,,,
1776664713,,-0.066452,0.978844,0.981527,0.066,0.04,1.074,1.0768
1776664713,0.032688,-0.067501,0.977802,0.980674,0.063,0.034,1.07,1.0724
1776664713,0.032688,-0.067501,,,,,,
1776664713,,,0.977802,0.980674,0.068,0.038,1.07,1.0728
1776664713,0.031105,-0.06641,0.977398,0.980145,0.066,0.032,1.07,1.0725
1776664713,0.02961,,,,,,,
1776664713,,-0.067318,0.978401,0.981161,0.069,0.033,1.065,1.0677
1776664713,0.02961,-0.067318,0.978401,0.981161,0.07,0.034,,
1776664713,,,,,,,1.068,1.0708
1776664713,0.03194,-0.068966,0.97826,0.981208,0.065,0.035,,
1776664713,,,,,,,1.068,1.0705
1776664713,0.030186,,,,,,,
