800152000,-0.180011,-0.066222,-0.512347,0.547073
800154000,0.104656,0.082154,-2.50712,2.510648
800156000,0.125077,0.052723,-1.86424,1.869175
800158000,-0.021932,-0.067393,-1.945634,1.946925
800160000,0.022538,0.04177,-2.117982,2.118513
800162000,0.022439,0.236864,0.668209,0.709303
800164000,-0.067065,0.062452,2.666333,2.667907
800166000,-0.024596,-0.077388,1.787935,1.789778
800168000,0.086765,0.115522,1.967118,1.972417
800170000,-0.099066,0.068879,2.124914,2.128337
800172000,-0.207314,-0.044644,0.001873,0.212075
800174000,0.043012,0.018582,-2.061233,2.061765
800176000,0.14633,-0.046716,-2.0693,2.074994
800178000,0.045919,-0.111083,-1.895313,1.899121
800180000,-0.010967,0.015188,-2.09085,2.090934
800182000,0.0474,0.189011,0.616425,0.646492
800184000,-0.053511,0.08674,2.714322,2.716235
800186000,-0.04006,-0.070858,1.75446,1.756347
800188000,0.13842,0.102534,1.985571,1.993029
800190000,-0.071895,0.055723,0.748244,0.753753
800192000,0.014368,-0.022504,-1.858104,1.858296
800194000,0.232053,0.065026,-2.110263,2.123979
800196000,0.003885,-0.065178,-1.932344,1.933447
800198000,0.015023,-0.014797,-2.031614,2.031723
800200000,0.091493,0.175442,0.146522,0.24621
800202000,-0.075421,0.095856,2.391939,2.395047
800204000,-0.092611,-0.031128,1.899438,1.901949
800206000,0.08303,0.064842,1.95294,1.95578
800208000,-0.044552,0.072783,2.095091,2.096828
800210000,-0.251719,-0.026867,1.063136,1.09286
800212000,0.037532,0.031007,-1.21914,1.220112
800214000,0.218818,0.07324,-2.448579,2.459428
800216000,0.002878,-0.058198,-1.809413,1.810351
800218000,0.003041,-0.059871,-2.032467,2.033351
800220000,0.095662,0.185283,-0.436239,0.483514
800222000,-0.071624,0.170304,1.992322,2.00087
800224000,-0.098224,-0.050867,2.063773,2.066735
800226000,0.113945,0.033208,1.930067,1.933713
800228000,-0.003423,0.098627,2.053398,2.055768
800230000,-0.253298,-0.046721,1.641928,1.662008
800232000,0.003126,-0.025911,-0.820018,0.820433
800234000,0.232115,0.063266,-2.622006,2.633021
800236000,0.027641,-0.017449,-1.775943,1.776244
800238000,0.013203,-0.048934,-1.999132,1.999775
800240000,0.114496,0.134078,-1.012034,1.027277
800242000,-0.040352,0.178649,1.588861,1.599382
800244000,-0.103391,-0.026853,2.238741,2.241288
800246000,0.068823,-0.004748,1.896627,1.897882
800248000,0.019669,0.118002,2.019392,2.022933
800250000,-0.233841,-0.02171,2.020297,2.033901
800252000,-0.070667,-0.008112,-0.587012,0.591306
800254000,0.221941,0.169955,-2.718827,2.73316
800256000,0.097112,0.078731,-1.761463,1.765894
800258000,0.028354,-0.044869,-1.975716,1.976429
800260000,0.103241,0.1506,-1.493463,1.504583
800262000,-0.01954,0.251217,1.232022,1.257526
800264000,-0.101768,-0.01924,2.396653,2.39889
800266000,0.044915,-0.046193,1.863436,1.86455
800268000,0.060477,0.127192,1.992144,1.997116
800270000,-0.195897,-0.02918,2.065143,2.074619
800272000,-0.119339,-0.066586,-0.627023,0.641742
800274000,0.206325,0.125859,-2.691607,2.702435
800276000,0.160252,0.053497,-1.776059,1.784076
800278000,-0.164112,-0.019098,-1.97027,1.977185
800280000,-0.046763,0.101281,-1.958305,1.96148
800282000,0.143037,0.165936,0.831732,0.860101
800284000,-0.131351,-0.00214,2.58143,2.58477
800286000,0.001939,-0.072233,1.817477,1.818913
800288000,0.114452,0.103199,1.9684,1.974423
800290000,-0.184858,-0.027241,2.111255,2.119507
800292000,-0.141406,-0.065714,-0.669927,0.687834
800294000,0.156379,0.145162,-2.661602,2.670141
800296000,0.071692,-0.050353,-1.792643,1.794783
800298000,-0.050765,-0.201455,-1.9637,1.974659
800300000,0.079261,0.132083,-2.126888,2.132459
800302000,-0.006482,0.25816,0.685846,0.732853
800304000,-0.109637,-0.057877,2.64985,2.652749
800306000,0.046761,-0.10532,1.799494,1.80318
800308000,0.173417,0.117779,1.96071,1.971885
800310000,-0.118625,-0.021393,2.127467,2.130879
800312000,-0.18465,-0.09308,-0.242842,0.318954
800314000,0.185993,0.130747,-2.2715,2.28285
800316000,0.152373,0.057207,-1.972389,1.979092
800318000,-0.004741,-0.107641,-1.919284,1.922306
800320000,0.108513,0.073449,-2.103456,2.107533
800322000,0.049332,0.227703,0.640729,0.681774
800324000,-0.138036,0.004675,2.691747,2.695288
800326000,-0.038638,-0.069132,1.770231,1.772002
800328000,0.129145,0.125976,1.976863,1.985078
800330000,-0.120918,0.04318,2.121084,2.124967
800332000,-0.238292,-0.025523,0.256307,0.350896
800334000,0.143708,0.122309,-1.842272,1.851912
800336000,0.182754,0.047945,-2.170524,2.178731
800338000,-0.04994,-0.09859,-1.870002,1.873264
800340000,0.027485,0.08913,0.314157,0.327711
800342000,-0.069591,0.107413,2.641733,2.644832
800344000,-0.085192,-0.048356,1.798761,1.801426
800346000,0.13041,0.119463,1.964899,1.972842
